Completed,Week,Day of Week,Projected Winner,Projected Winner's Rank,Projected Winner's Percentage,Projected Winner's Percentage Difference,Rank Difference,Away Team,Away Percentage,Home Team,Home Percentage,Game URL
false,17,Friday,Indianapolis Colts,19,58.3,16.9,12,Indianapolis Colts,58.3,New York Giants,41.4,https://www.espn.com/nfl/game/_/gameId/401671846/colts-giants
false,17,Friday,Los Angeles Rams,9,56.8,13.9,11,Arizona Cardinals,42.9,Los Angeles Rams,56.8,https://www.espn.com/nfl/game/_/gameId/401671829/cardinals-rams
false,17,Friday,Los Angeles Chargers,16,56.5,13.3,12,Los Angeles Chargers,56.5,New England Patriots,43.2,https://www.espn.com/nfl/game/_/gameId/401671832/chargers-patriots
false,17,Saturday,San Francisco 49ers,1,55.9,12.1,2,Detroit Lions,43.8,San Francisco 49ers,55.9,https://www.espn.com/nfl/game/_/gameId/401671698/lions-49ers
false,17,Friday,Philadelphia Eagles,5,55.2,10.8,3,Dallas Cowboys,44.4,Philadelphia Eagles,55.2,https://www.espn.com/nfl/game/_/gameId/401671765/cowboys-eagles
false,17,Monday,Houston Texans,6,54.9,10.1,1,Baltimore Ravens,44.8,Houston Texans,54.9,https://www.espn.com/nfl/game/_/gameId/401671800/ravens-texans
false,17,Tuesday,Chicago Bears,21,53.2,6.7,3,Seattle Seahawks,46.5,Chicago Bears,53.2,https://www.espn.com/nfl/game/_/gameId/401671876/seahawks-bears
false,17,Friday,Atlanta Falcons,17,52.4,5.2,7,Atlanta Falcons,52.4,Washington Commanders,47.2,https://www.espn.com/nfl/game/_/gameId/401671842/falcons-commanders
false,17,Friday,Green Bay Packers,26,51.2,2.8,11,Green Bay Packers,51.2,Minnesota Vikings,48.4,https://www.espn.com/nfl/game/_/gameId/401671725/packers-vikings
false,18,Friday,Philadelphia Eagles,5,74.3,48.8,26,New York Giants,25.5,Philadelphia Eagles,74.3,https://www.espn.com/nfl/game/_/gameId/401671841/giants-eagles
false,18,Friday,Kansas City Chiefs,2,70.6,41.5,28,Kansas City Chiefs,70.6,Denver Broncos,29.1,https://www.espn.com/nfl/game/_/gameId/401671838/chiefs-broncos
false,18,Friday,Atlanta Falcons,17,69.9,40,15,Carolina Panthers,29.9,Atlanta Falcons,69.9,https://www.espn.com/nfl/game/_/gameId/401671827/panthers-falcons
false,18,Friday,Dallas Cowboys,8,66.6,33.4,16,Washington Commanders,33.2,Dallas Cowboys,66.6,https://www.espn.com/nfl/game/_/gameId/401671840/commanders-cowboys
false,18,Friday,Buffalo Bills,4,66.2,32.6,24,Buffalo Bills,66.2,New England Patriots,33.6,https://www.espn.com/nfl/game/_/gameId/401671831/bills-patriots
false,18,Friday,New York Jets,10,65.3,30.9,19,Miami Dolphins,34.4,New York Jets,65.3,https://www.espn.com/nfl/game/_/gameId/401671833/dolphins-jets
false,18,Friday,Detroit Lions,3,64.2,28.7,12,Minnesota Vikings,35.5,Detroit Lions,64.2,https://www.espn.com/nfl/game/_/gameId/401671843/vikings-lions
false,18,Friday,San Francisco 49ers,1,61.1,22.5,19,San Francisco 49ers,61.1,Arizona Cardinals,38.6,https://www.espn.com/nfl/game/_/gameId/401671845/49ers-cardinals
false,18,Friday,Baltimore Ravens,7,60.4,21.1,15,Cleveland Browns,39.3,Baltimore Ravens,60.4,https://www.espn.com/nfl/game/_/gameId/401671834/browns-ravens
false,18,Friday,Houston Texans,6,60.1,20.5,19,Houston Texans,60.1,Tennessee Titans,39.6,https://www.espn.com/nfl/game/_/gameId/401671826/texans-titans
false,18,Friday,Green Bay Packers,26,59.8,19.9,5,Chicago Bears,39.9,Green Bay Packers,59.8,https://www.espn.com/nfl/game/_/gameId/401671844/bears-packers
false,18,Friday,Los Angeles Rams,9,56.3,13,9,Seattle Seahawks,43.3,Los Angeles Rams,56.3,https://www.espn.com/nfl/game/_/gameId/401671830/seahawks-rams
false,18,Friday,Los Angeles Chargers,16,55.5,11.3,11,Los Angeles Chargers,55.5,Las Vegas Raiders,44.2,https://www.espn.com/nfl/game/_/gameId/401671839/chargers-raiders
false,18,Friday,Tampa Bay Buccaneers,12,53.8,7.9,2,New Orleans Saints,45.9,Tampa Bay Buccaneers,53.8,https://www.espn.com/nfl/game/_/gameId/401671828/saints-buccaneers
false,18,Friday,Indianapolis Colts,19,51.6,3.6,6,Jacksonville Jaguars,48,Indianapolis Colts,51.6,https://www.espn.com/nfl/game/_/gameId/401671837/jaguars-colts
false,18,Friday,Pittsburgh Steelers,23,50.1,0.6,12,Cincinnati Bengals,49.5,Pittsburgh Steelers,50.1,https://www.espn.com/nfl/game/_/gameId/401671836/bengals-steelers
