Completed,Week,Day of Week,Projected Winner,Projected Winner's Rank,Projected Winner's Percentage Difference,Rank Difference,Projected Winner Futures Difference,Away Team,Away Rank,Away Percentage,Away Futures NJ,Away-Home Futures NJ difference,Home Team,Home Rank,Home Percentage,Home Futures NJ,Home-Away Futures NJ difference,Game URL
false,15,Sunday,Atlanta Falcons,22,26.3,9,-80000,Atlanta Falcons,22,63,20000,-80000,Carolina Panthers,31,36.7,100000,80000,https://www.espn.com/nfl/game?gameId=401547603
false,15,Sunday,Cleveland Browns,14,25.5,12,-95000,Chicago Bears,27,37.1,100000,95000,Cleveland Browns,11,62.6,5000,-95000,https://www.espn.com/nfl/game?gameId=401547605
false,15,Sunday,Philadelphia Eagles,7,23.5,8,-3500,Philadelphia Eagles,1,61.6,500,-3500,Seattle Seahawks,10,38.1,4000,3500,https://www.espn.com/nfl/game?gameId=401547601
false,15,Sunday,Houston Texans,18,19.9,10,-30000,Houston Texans,17,59.8,10000,-30000,Tennessee Titans,26,39.9,40000,30000,https://www.espn.com/nfl/game?gameId=401547595
false,15,Sunday,Cincinnati Bengals,9,18.5,4,-7800,Minnesota Vikings,15,40.6,10000,7800,Cincinnati Bengals,9,59.1,2200,-7800,https://www.espn.com/nfl/game?gameId=401547604
false,15,Sunday,Pittsburgh Steelers,17,11.2,4,-15000,Pittsburgh Steelers,12,55.4,5000,-15000,Indianapolis Colts,23,44.2,20000,15000,https://www.espn.com/nfl/game?gameId=401547607
false,15,Sunday,Buffalo Bills,5,6.6,1,1200,Dallas Cowboys,4,46.5,1000,-1200,Buffalo Bills,8,53.1,2200,1200,https://www.espn.com/nfl/game?gameId=401547600
false,15,Sunday,Tampa Bay Buccaneers,19,0.8,1,0,Tampa Bay Buccaneers,21,50.2,15000,0,Green Bay Packers,19,49.4,15000,0,https://www.espn.com/nfl/game?gameId=401547598
false,16,Monday,Philadelphia Eagles,7,80.1,25,-99500,New York Giants,29,9.9,100000,99500,Philadelphia Eagles,1,90,500,-99500,https://www.espn.com/nfl/game?gameId=401547241
false,16,Monday,Kansas City Chiefs,2,73.7,28,-24550,Las Vegas Raiders,24,13.1,25000,24550,Kansas City Chiefs,0,86.8,450,-24550,https://www.espn.com/nfl/game?gameId=401547351
